szó	tokenszám	nyelv
normal	22392	en
loss	22391	en
amendments	22324	en
status	22289	en
tasks	22271	en
conclusion	22264	en
holding	22215	en
87	22211	en
matter	22148	en
96	22127	en
unless	22089	en
put	22082	en
range	22078	en
extent	22054	en
outside	22030	en
interests	22013	en
august	22006	en
34	22002	en
require	21971	en
marketing	21957	en
independent	21912	en
etc	21874	en
income	21793	en
chemical	21777	en
italy	21753	en
association	21718	en
expected	21682	en
workers	21625	en
mass	21614	en
applies	21606	en
inform	21551	en
prejudice	21546	en
08	21543	en
sale	21539	en
works	21534	en
examination	21503	en
components	21502	en
repealing	21492	en
original	21479	en
tests	21424	en
industrial	21411	en
95	21403	en
producer	21363	en
best	21354	en
sub	21332	en
french	21324	en
forms	21312	en
several	21309	en
prevent	21298	en
global	21293	en
contracting	21253	en
users	21223	en
includes	21223	en
http	21212	en
37	21139	en
progress	21138	en
practice	21135	en
climate	21096	en
budgetary	21086	en
compensation	21084	en
k	21033	en
observations	21022	en
letter	21015	en
mentioned	20978	en
design	20974	en
centre	20958	en
inspection	20950	en
acting	20949	en
otherwise	20919	en
associated	20888	en
met	20874	en
98	20872	en
class	20869	en
maintenance	20867	en
five	20863	en
07	20848	en
oil	20846	en
among	20810	en
later	20806	en
supervisory	20806	en
resulting	20780	en
calculation	20754	en
distribution	20727	en
92	20721	en
93	20690	en
loans	20635	en
recommendation	20616	en
citizens	20602	en
shares	20600	en
assigned	20578	en
setting	20556	en
transaction	20554	en
accordingly	20554	en
verification	20548	en
remarks	20534	en
aircraft	20525	en
clear	20495	en
categories	20475	en
43	20473	en
lower	20445	en
39	20358	en
then	20357	en
infringement	20349	en
fundamental	20313	en
size	20308	en
80	20295	en
recognised	20281	en
contact	20250	en
source	20238	en
provisional	20229	en
exposure	20201	en
reduce	20158	en
electricity	20148	en
temporary	20123	en
details	20121	en
testing	20066	en
applicants	20053	en
still	20048	en
welcomes	20004	en
initial	19978	en
consumers	19976	en
merger	19975	en
debt	19949	en
vessel	19943	en
meat	19932	en
needed	19925	en
milk	19910	en
units	19896	en
spain	19885	en
schemes	19864	en
rates	19832	en
airport	19807	en
knowledge	19751	en
appendix	19747	en
legislative	19741	en
benefits	19720	en
pre	19662	en
contribute	19653	en
temperature	19591	en
four	19567	en
agreed	19555	en
responsibility	19544	en
medium	19524	en
enterprises	19520	en
checks	19501	en
cash	19500	en
rural	19485	en
lead	19475	en
determine	19461	en
sea	19460	en
known	19433	en
o	19410	en
controls	19401	en
expressed	19378	en
transmission	19373	en
call	19301	en
major	19297	en
speed	19251	en
claim	19250	en
incurred	19244	en
partnership	19238	en
pressure	19208	en
banks	19171	en
>	19125	en
binding	19105	en
figures	19105	en
device	19079	en
recovery	19062	en
applying	19050	en
furthermore	19047	en
integrated	19034	en
whose	19034	en
un	18988	en
off	18977	en
devices	18954	en
structure	18903	en
items	18899	en
<	18864	en
implement	18853	en
plants	18837	en
securities	18830	en
91	18803	en
develop	18728	en
road	18618	en
75	18618	en
constitute	18614	en
38	18590	en
adequate	18589	en
09	18578	en
forward	18574	en
yes	18543	en
what	18499	en
women	18466	en
relevance	18441	en
48	18426	en
response	18405	en
44	18400	en
licence	18399	en
beneficiary	18399	en
imposed	18390	en
agents	18376	en
46	18354	en
flow	18349	en
granting	18330	en
exercise	18328	en
contain	18313	en
sugar	18305	en
enforcement	18256	en
fair	18253	en
stresses	18238	en
supporting	18213	en
conclusions	18149	en
sources	18148	en
classification	18141	en
linked	18133	en
actual	18089	en
separate	18041	en
structural	18021	en
hand	18018	en
initiative	17977	en
world	17967	en
94	17946	en
trading	17925	en
asset	17917	en
factors	17912	en
plans	17897	en
reduced	17891	en
outturn	17881	en
building	17871	en
65	17847	en
agencies	17829	en
procurement	17824	en
2019	17817	en
complete	17816	en
42	17795	en
efta	17760	en
addressed	17724	en
paper	17719	en
developing	17663	en
quantities	17655	en
europa	17647	en
introduction	17631	en
profit	17609	en
alternative	17577	en
97	17543	en
longer	17542	en
sent	17537	en
efforts	17520	en
developed	17511	en
negative	17491	en
chamber	17420	en
matters	17414	en
positive	17399	en
facilitate	17372	en
steel	17350	en
fish	17305	en
professional	17267	en
transparency	17258	en
likely	17229	en
informed	17198	en
41	17181	en
he	17172	en
laws	17153	en
many	17133	en
purchase	17110	en
return	17081	en
short	17081	en
decided	17071	en
target	17035	en
achieve	17016	en
53	17009	en
crisis	16979	en
administration	16976	en
measured	16917	en
aspects	16885	en
movement	16863	en
ruling	16825	en
emission	16800	en
accession	16793	en
condition	16791	en
digital	16788	en
takes	16778	en
la	16775	en
cohesion	16752	en
percentage	16741	en
liabilities	16739	en
recognition	16722	en
agriculture	16719	en
49	16702	en
stability	16685	en
instance	16632	en
equity	16609	en
enable	16585	en
serious	16575	en
consideration	16553	en
aim	16527	en
raw	16510	en
consider	16507	en
governing	16502	en
derogation	16500	en
ireland	16490	en
ltd	16490	en
assess	16472	en
concerns	16471	en
possibility	16442	en
conduct	16415	en
manner	16392	en
quantity	16384	en
every	16369	en
mg	16363	en
presented	16353	en
vi	16351	en
efficient	16306	en
indicators	16281	en
77	16271	en
classified	16266	en
integration	16264	en
opportunities	16240	en
real	16231	en
promoting	16229	en
exemption	16192	en
especially	16189	en
requires	16170	en
connection	16159	en
differentiated	16154	en
start	16150	en
injury	16123	en
88	16119	en
priority	16103	en
estimated	16093	en
networks	16085	en
stock	16080	en
moreover	16064	en
belgium	16037	en
55	16028	en
powers	16024	en
clearly	15998	en
designated	15988	en
collection	15980	en
indicate	15980	en
sampling	15974	en
grounds	15952	en
netherlands	15936	en
smes	15935	en
inter	15875	en
china	15861	en
young	15855	en
finance	15812	en
currently	15811	en
via	15801	en
sa	15786	en
like	15784	en
absence	15780	en
experience	15771	en
facilities	15728	en
preparation	15715	en
demand	15711	en
stage	15665	en
affected	15644	en
appropriation	15641	en
placed	15629	en
cfsp	15610	en
failure	15605	en
99	15590	en
allowed	15583	en
traffic	15577	en
zone	15520	en
consultation	15497	en
six	15496	en
51	15477	en
adjustment	15476	en
partners	15462	en
54	15460	en
56	15437	en
protected	15432	en
requests	15422	en
sought	15419	en
entitled	15415	en
selection	15405	en
month	15398	en
remain	15392	en
hereinafter	15392	en
auditors	15383	en
avoid	15368	en
mechanism	15359	en
contained	15359	en
pleas	15280	en
disease	15277	en
tariff	15263	en
documentation	15262	en
processes	15251	en
attention	15243	en
function	15194	en
reasonable	15174	en
help	15147	en
signed	15120	en
strategic	15105	en
technologies	15070	en
follow	15059	en
commitment	15053	en
rise	15027	en
gmbh	15013	en
governance	14989	en
currency	14989	en
construction	14986	en
affect	14972	en
maintain	14971	en
fulfil	14963	en
representatives	14951	en
experts	14937	en
decide	14932	en
loan	14912	en
allocation	14900	en
§	14898	en
respective	14806	en
harmonisation	14796	en
reason	14793	en
index	14755	en
orders	14748	en
study	14738	en
none	14719	en
fruit	14713	en
achieved	14713	en
cultural	14706	en
medical	14701	en
losses	14691	en
meetings	14678	en
studies	14672	en
surface	14649	en
luxembourg	14637	en
61	14608	en
mr	14595	en
performed	14573	en
opening	14569	en
written	14562	en
statements	14557	en
completed	14552	en
participating	14549	en
once	14524	en
excluding	14524	en
director	14520	en
measurement	14486	en
w	14485	en
carrying	14481	en
prepared	14478	en
base	14412	en
specifications	14406	en
compared	14402	en
certification	14400	en
across	14391	en
extended	14346	en
47	14324	en
initiatives	14322	en
increasing	14309	en
regular	14304	en
close	14303	en
combined	14297	en
dialogue	14292	en
www	14290	en
ground	14285	en
identify	14282	en
italian	14270	en
assessed	14260	en
statistical	14234	en
iso	14221	en
85	14214	en
guarantees	14210	en
tonnes	14195	en
nuclear	14183	en
planned	14179	en
operative	14170	en
itself	14156	en
notify	14132	en
drawn	14127	en
family	14114	en
noted	14107	en
reach	14103	en
contested	14103	en
arguments	14098	en
physical	14091	en
expenses	14042	en
charges	14033	en
lack	14017	en
maritime	13997	en
waters	13979	en
acid	13958	en
side	13957	en
ad	13956	en
improving	13941	en
52	13934	en
promotion	13911	en
underlying	13903	en
throughout	13871	en
stated	13870	en
specification	13858	en
1998	13845	en
submission	13836	en
beneficiaries	13829	en
liability	13828	en
hours	13819	en
link	13812	en
controlled	13803	en
children	13803	en
guidance	13794	en
fall	13762	en
although	13751	en
competitive	13727	en
tender	13715	en
deemed	13715	en
website	13706	en
believes	13702	en
processed	13678	en
become	13657	en
fresh	13651	en
register	13648	en
immediately	13638	en
cpc	13634	en
hereby	13625	en
personnel	13622	en
affairs	13609	en
modified	13605	en
length	13591	en
located	13583	en
declared	13571	en
advisory	13568	en
packaging	13561	en
criminal	13560	en
pension	13557	en
charge	13555	en
poland	13540	en
component	13515	en
scale	13511	en
effectiveness	13508	en
lodged	13504	en
bear	13493	en
facility	13489	en
gdp	13485	en
certificates	13461	en
allocated	13458	en
rapporteur	13443	en
di	13443	en
holder	13432	en
aviation	13414	en
directives	13411	en
annexes	13397	en
stakeholders	13380	en
officials	13377	en
prevention	13376	en
executive	13353	en
discharge	13340	en
selected	13336	en
award	13305	en
sheet	13287	en
ratio	13276	en
yet	13255	en
compatible	13250	en
89	13248	en
carbon	13223	en
extension	13196	en
wine	13192	en
periods	13186	en
frequency	13180	en
permanent	13180	en
recorded	13175	en
obtain	13171	en
passenger	13127	en
consistent	13118	en
media	13112	en
statistics	13110	en
km	13109	en
determination	13100	en
might	13098	en
functions	13082	en
settlement	13073	en
german	13046	en
pilot	13038	en
skills	13020	en
internet	13019	en
ip	13018	en
mutual	13014	en
mechanisms	13005	en
around	13003	en
59	12986	en
findings	12981	en
box	12980	en
68	12975	en
58	12966	en
transitional	12951	en
accepted	12942	en
summary	12932	en
tools	12911	en
concern	12899	en
72	12880	en
margin	12862	en
veterinary	12851	en
primary	12839	en
codes	12819	en
customers	12808	en
delay	12802	en
factor	12764	en
inclusion	12758	en
creation	12756	en
107	12745	en
cycle	12736	en
comprehensive	12719	en
beyond	12709	en
military	12709	en
planning	12703	en
vat	12701	en
steps	12680	en
interpretation	12677	en
designation	12672	en
referring	12666	en
marks	12658	en
subsequent	12651	en
quota	12641	en
supervision	12633	en
uses	12629	en
error	12622	en
shown	12616	en
retail	12606	en
chain	12601	en
entirety	12596	en
arising	12583	en
excl	12555	en
figure	12531	en
57	12494	en
confirmed	12476	en
67	12471	en
competitiveness	12465	en
space	12465	en
reform	12457	en
receive	12454	en
nor	12443	en
others	12439	en
input	12411	en
confidential	12391	en
judicial	12389	en
mode	12388	en
freedom	12387	en
problems	12362	en
64	12340	en
providers	12325	en
population	12323	en
advantage	12321	en
sound	12308	en
78	12296	en
sold	12295	en
flight	12292	en
introduced	12283	en
valid	12265	en
82	12260	en
officer	12257	en
conducted	12249	en
justified	12248	en
delivery	12200	en
mission	12183	en
denmark	12163	en
prc	12159	en
english	12100	en
significantly	12097	en
mobility	12081	en
emergency	12076	en
73	12076	en
licences	12069	en
defence	12065	en
series	12037	en
assembly	12032	en
age	12022	en
challenges	12006	en
recent	11997	en
early	11990	en
communications	11986	en
self	11985	en
restrictions	11984	en
remaining	11976	en
phase	11971	en
financed	11962	en
fees	11954	en
back	11942	en
greece	11927	en
definitions	11925	en
collected	11919	en
intensity	11909	en
buildings	11887	en
course	11886	en
head	11885	en
issuing	11883	en
businesses	11880	en
co2	11880	en
supported	11875	en
latest	11848	en
62	11846	en
vote	11844	en
formal	11822	en
indication	11822	en
instructions	11820	en
billion	11816	en
monitor	11812	en
site	11797	en
71	11791	en
ohim	11791	en
completion	11781	en
directorate	11774	en
output	11772	en
suitable	11759	en
exports	11741	en
generally	11735	en
port	11732	en
user	11710	en
former	11710	en
alia	11707	en
presence	11689	en
y	11687	en
cn	11683	en
called	11678	en
priorities	11669	en
83	11655	en
effectively	11650	en
questions	11633	en
step	11629	en
care	11591	en
banking	11591	en
existence	11583	en
damage	11565	en
81	11556	en
sum	11539	en
accompanied	11524	en
wide	11520	en
consequently	11513	en
gross	11512	en
farmers	11503	en
organic	11498	en
plea	11486	en
installation	11482	en
stocks	11468	en
respectively	11467	en
format	11464	en
jobs	11461	en
exception	11452	en
mainly	11451	en
reducing	11450	en
registry	11422	en
focus	11413	en
relations	11393	en
individuals	11384	en
manufacturing	11384	en
youth	11378	en
determining	11370	en
uk	11368	en
139	11367	en
targets	11351	en
south	11343	en
chinese	11343	en
transferred	11313	en
positions	11309	en
travel	11301	en
expiry	11299	en
discrimination	11297	en
territorial	11294	en
specify	11277	en
record	11275	en
fourth	11255	en
renewable	11241	en
am	11230	en
labelling	11220	en
disclosure	11214	en
offer	11206	en
permit	11195	en
involving	11179	en
63	11174	en
create	11166	en
produce	11144	en
strengthening	11143	en
agenda	11138	en
traditional	11138	en
mean	11135	en
remuneration	11126	en
difference	11112	en
check	11094	en
1997	11092	en
aimed	11091	en
majority	11087	en
grants	11070	en
employees	11056	en
66	11054	en
harmonised	11048	en
norway	11045	en
1994	11023	en
interpreted	11023	en
events	11016	en
words	11013	en
learning	10998	en
kind	10995	en
holdings	10992	en
candidate	10971	en
mail	10954	en
fax	10952	en
standing	10940	en
combination	10909	en
gender	10902	en
lines	10883	en
column	10882	en
negotiations	10869	en
child	10862	en
uniform	10860	en
composition	10852	en
exposures	10847	en
residence	10842	en
intervention	10836	en
transit	10835	en
methodology	10833	en
annul	10823	en
now	10811	en
strengthen	10803	en
treated	10796	en
encourage	10788	en
reinsurance	10786	en
participants	10786	en
developments	10773	en
×	10771	en
technological	10765	en
failed	10759	en
samples	10747	en
load	10745	en
heat	10743	en
derived	10743	en
austria	10732	en
vii	10712	en
tribunal	10693	en
falling	10678	en
latter	10664	en
79	10660	en
covers	10659	en
her	10652	en
subheading	10649	en
